Id,Fecha,Hora,Lugar_Del_Hecho,Tipo_De_Calle,Calle,Cruce,Dirección Normalizada,Comuna,Pos X,Pos Y,Participantes,Victima,Acusado,Rol,Sexo,Edad,Dia_semana,FranjaHoraria,Hh,Anio
2016-0174,2016-12-27,00:00:00,AUTOPISTA 25 DE MAYO,AUTOPISTA,AUTOPISTA 25 DE MAYO,NO,AUTOPISTA 25 DE MAYO,0,0.0,0.0,SD-SD,Sin Dato,Sin Dato,CONDUCTOR,MASCULINO,54,Tuesday,Madrugada,0,2016
2016-0151,2016-11-18,20:35:00,SD,CALLE,Sin Dato,NO,Sin Dato,0,0.0,0.0,PEATON-SD,PEATON,Sin Dato,PEATON,MASCULINO,51,Friday,Noche,20,2016
2021-0097,2021-11-18,06:10:00,PADRE CARLOS MUJICA 709,CALLE,PADRE CARLOS MUJICA,NO,PADRE CARLOS MUGICA 709,1,-58.37976155,-34.58679619,BICICLETA-AUTO,BICICLETA,AUTO,CICLISTA,MASCULINO,53,Thursday,Mañana,6,2021
2017-0035,2017-03-23,05:00:00,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.",SI,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,32,Thursday,Madrugada,5,2017
2017-0035,2017-03-23,05:00:00,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.",SI,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,30,Thursday,Madrugada,5,2017
2017-0037,2017-03-31,03:00:00,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,INDEPENDENCIA AV.,SI,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,41,Friday,Madrugada,3,2017
2020-0016,2020-02-29,13:00:00,"ALEM,LEANDRO N. AV. 770",AVENIDA,"ALEM, LEANDRO N. AV.",NO,"ALEM, LEANDRO N. AV. 770",1,-58.37133616,-34.59879316,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,68,Saturday,Mediodia,13,2020
2020-0015,2020-02-28,14:30:00,BRASIL AV. Y PASEO COLON AV.,AVENIDA,BRASIL AV.,SI,BRASIL AV. y PASEO COLON AV.,1,-58.36797542,-34.62519403,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,29,Friday,Tarde,14,2020
2020-0010,2020-02-08,05:45:00,9 DE JULIO AV. Y SAN JUAN AV.,AVENIDA,9 DE JULIO AV.,SI,9 DE JULIO AV. y SAN JUAN AV.,1,-58.38099833,-34.62214953,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,32,Saturday,Madrugada,5,2020
2017-0058,2017-05-09,23:10:00,AV. CORDOBA Y LIBERTAD,AVENIDA,CORDOBA AV.,SI,CORDOBA AV. y LIBERTAD,1,-58.38403232,-34.5991594,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,80,Tuesday,Noche,23,2017
2017-0059,2017-05-11,09:24:00,BRASIL Y LIMA,CALLE,BRASIL,SI,BRASIL y LIMA,1,-58.38223382,-34.62693865,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,39,Thursday,Mañana,9,2017
2017-0063,2017-05-17,10:13:00,CHILE Y AV. 9 DE JULIO,AVENIDA,CHILE,SI,CHILE y 9 DE JULIO AV.,1,-58.38118367,-34.61646839,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,79,Wednesday,Mañana,10,2017
2017-0064,2017-05-20,05:00:00,MAIPU Y PERON,CALLE,MAIPU,SI,"MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",1,-58.37653284,-34.60582475,CARGAS-AUTO,CARGAS,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,61,Saturday,Madrugada,5,2017
2020-0007,2020-01-27,00:37:00,CHILE Y LIMA ,CALLE,CHILE,SI,CHILE y LIMA,1,-58.3815685,-34.61648696,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,52,Monday,Madrugada,0,2020
2020-0004,2020-01-14,21:40:00,RODRIGUEZ PEÑA Y RIVADAVIA AV.,AVENIDA,RODRIGUEZ PE?A,SI,RODRIGUEZ PEÃ‘A y RIVADAVIA AV.,1,-58.39055614,-34.60919284,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,82,Tuesday,Noche,21,2020
2017-0075,2017-06-12,22:38:00,AV. DE MAYO Y AV. 9 DE JULIO,AVENIDA,DE MAYO AV.,SI,DE MAYO AV. y 9 DE JULIO AV.,1,-58.381542,-34.60906385,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,55,Monday,Noche,22,2017
2017-0035,2017-03-23,05:00:00,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,AVENIDA,"ACHAVAL RODRIGUEZ, T., DR. AV.",SI,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,28,Thursday,Madrugada,5,2017
2017-0027,2017-02-26,21:57:00,AV. CASEROS 1429,AVENIDA,CASEROS AV.,NO,CASEROS AV. 1429,1,-58.38332245,-34.6319325,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,51,Sunday,Noche,21,2017
2017-0016,2017-02-03,05:12:21,"AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.",AUTOPISTA,AUTOPISTA 25 DE MAYO,NO,AUTOPISTA 25 DE MAYO KM. 8.3,1,-58.38099494,-34.62288231,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,27,Friday,Madrugada,5,2017
2019-0096,2019-11-22,19:33:00,CASEROS AV. Y PIEDRAS,AVENIDA,CASEROS AV.,SI,CASEROS AV. y PIEDRAS,1,-58.37560352,-34.62726382,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,73,Friday,Noche,19,2019
2016-0112,2016-08-27,04:40:00,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,AUTOPISTA,AUTOPISTA 25 DE MAYO,SI,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,24,Saturday,Madrugada,4,2016
2016-0118,2016-09-04,03:30:00,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,-58.37936704,-34.62694503,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,27,Sunday,Madrugada,3,2016
2021-0001,2021-01-06,18:00:00,AU FRONDIZI KM. 3,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AU FRONDIZI KM. 3,1,-58.37960727,-34.62622851,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,36,Wednesday,Tarde,18,2021
